dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType.is_FSBA,listingSubType.is_newHome,listingSubType.is_openHouse
,SINGLE_FAMILY,2787.84,"3807 Vilbig Rd, Dallas, TX 75212",-1,499000,,-96.848045,32.78897,,FOR_SALE,26834283,https://photos.zillowstatic.com/fp/05c4510f6c848ec041692ce8b82fd5a2-p_e.jpg,1855,3,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,3267.0,"3505 Ebenezer Mews, Dallas, TX 75236",-1,435000,,-96.94766,32.700424,,FOR_SALE,96533411,https://photos.zillowstatic.com/fp/de2acc7cf70c0c78143171dccb2b798c-p_e.jpg,1913,3,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,6751.8,"210 W Jerden Ln, Dallas, TX 75208",-1,400000,,-96.825096,32.735153,,FOR_SALE,26713825,https://photos.zillowstatic.com/fp/566d415ad5e70dcb6176e9af9055f68a-p_e.jpg,1820,3,sqft,USA,USD,3,True,,True,
,SINGLE_FAMILY,5654.088,"1471 Barrel Dr, Dallas, TX 75253",-1,357000,,-96.586716,32.671883,,FOR_SALE,303982067,https://photos.zillowstatic.com/fp/38054fd9d5b536135a187f8080015019-p_e.jpg,1604,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,5488.56,"8233 Clarkview Dr, Dallas, TX 75236",-1,352000,,-96.94031,32.66624,,FOR_SALE,89366787,https://photos.zillowstatic.com/fp/e5a950d2b476cda8f1cf97e8a9b0b07b-p_e.jpg,1545,2,sqft,USA,USD,3,True,True,,True
,SINGLE_FAMILY,5749.92,"14319 Bridgeview Ln, Dallas, TX 75253",-1,315000,,-96.58377,32.675407,,FOR_SALE,96514412,https://photos.zillowstatic.com/fp/00d82f7619f6dfae37f59c1379daec8d-p_e.jpg,1946,3,sqft,USA,USD,3,True,True,,True
,SINGLE_FAMILY,7013.16,"2278 Red Chute Dr, Dallas, TX 75253",-1,309500,,-96.60512,32.669476,,FOR_SALE,96521355,https://photos.zillowstatic.com/fp/f0027fbd0e4eda19a5cd3a96754b2832-p_e.jpg,1840,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,5488.56,"6142 Veranda Way, Dallas, TX 75241",-1,299900,,-96.76805,32.667187,,FOR_SALE,67962496,https://photos.zillowstatic.com/fp/2aa2cacb924350135c0679097d6f6544-p_e.jpg,1996,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,5488.56,"6834 Clark Vista Dr, Dallas, TX 75236",-1,299900,,-96.9417,32.667805,,FOR_SALE,69676335,https://photos.zillowstatic.com/fp/429a9b2eb2b4b90d9370b799d4024994-p_e.jpg,1446,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,5009.4,"1921 Courtside Dr, Grand Prairie, TX 75051",-1,268000,,-96.97619,32.725567,,FOR_SALE,83999315,https://photos.zillowstatic.com/fp/28dbdcaf3b67541c31a2fb533f96e3e8-p_e.jpg,1360,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,5749.92,"3019 Flask Dr, Dallas, TX 75241",-1,265000,,-96.77272,32.659615,,FOR_SALE,26856598,https://photos.zillowstatic.com/fp/dde36bd31a27e352b02ac8f2fb492e19-p_e.jpg,1639,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,3049.2,"212 River Rock Dr, Dallas, TX 75217",-1,265000,,-96.712166,32.71504,,FOR_SALE,83997205,https://photos.zillowstatic.com/fp/2518097d465cc803684f4522a320103d-p_e.jpg,1553,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,5009.4,"7304 Buford Dr, Dallas, TX 75241",-1,254000,,-96.81202,32.65986,,FOR_SALE,55826473,https://photos.zillowstatic.com/fp/81a4b6ed22670b09c8c7cd496667dd2b-p_e.jpg,1243,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,9147.6,"2110 Volga Ave, Dallas, TX 75216",-1,244500,,-96.79346,32.702545,,FOR_SALE,84004590,https://photos.zillowstatic.com/fp/7fb7642e64738e968ef26e86ae22c6ed-p_e.jpg,1236,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,5706.36,"3336 Pinebrook Dr, Dallas, TX 75241",-1,237400,,-96.76877,32.66505,,FOR_SALE,80240499,https://photos.zillowstatic.com/fp/6a089b0da03f42ba0ea59956cbba9111-p_e.jpg,1165,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,6249.0,"6634 Cool Morn Dr, Dallas, TX 75241",-1,230000,,-96.76215,32.65935,,FOR_SALE,96492086,https://photos.zillowstatic.com/fp/3d1095408a245a438b1a9a459778409f-p_e.jpg,1424,2,sqft,USA,USD,3,True,True,,
,SINGLE_FAMILY,0.278,"2715 Kirven Dr, Dallas, TX 75227",-1,174900,,-96.66716,32.758156,,FOR_SALE,26820021,https://photos.zillowstatic.com/fp/eb12b28910764b9b32e1e437f7e85f66-p_e.jpg,1000,1,acres,USA,USD,2,True,True,,
,SINGLE_FAMILY,6446.88,"2729 Kool Ave, Dallas, TX 75241",-1,160000,,-96.7763,32.677,,FOR_SALE,26822415,https://photos.zillowstatic.com/fp/67063058263ccb10d3967780ad95e2c8-p_e.jpg,1080,2,sqft,USA,USD,3,True,True,,
