zpid,Address,Price,Living Area (sqft),Lot Area (sqft),Bedrooms,Bathrooms
58674415,"2510 Foxville Dr, Houston, TX 77067",289900,2410,6080,4,3
65716542,"2103 Diamond Crest Dr, Missouri City, TX 77489",240000,1558,4499,3,2
123234528,"8038 Narrow Brook Way, Houston, TX 77016",295000,2700,5514,5,3
84007398,"5736 Petty St, Houston, TX 77007",498000,2048,2687,3,4
161426399,"403 N Nagle St #C, Houston, TX 77003",419900,1996,1868,3,4
55475332,"12236 N Shadow Cove Dr, Houston, TX 77082",360000,2650,8581,4,3
62587505,"11930 Leaf Oak Dr, Houston, TX 77065",310000,1896,5414,3,2
84030805,"10822 Shannon Mills Ln, Houston, TX 77075",279900,2616,4399,4,3
247559918,"6711 Cortenridge Ln, Houston, TX 77048",235000,1509,5031,3,2
97659789,"10522 Pine Landing Dr, Houston, TX 77088",256000,1556,4229,3,2
58680134,"17323 S Summit Canyon Dr, Houston, TX 77095",375000,3178,5636,5,3
68415808,"21006 Brushy Canyon Dr, Houston, TX 77073",280000,2217,5501,3,3
62592037,"4327 Heritage Trail Dr, Houston, TX 77047",199900,1464,5501,3,2
112160108,"12915 Misty Lantern Ln, Houston, TX 77044",249990,1622,5113,3,2
62598779,"11522 Berkway Trl, Houston, TX 77065",298000,2209,5749,4,3
125461271,"1413 Holly St #A, Houston, TX 77007",474900,2129,1703,3,4
80543146,"9002 Durham Manor Ln, Houston, TX 77075",290000,2312,6185,4,3
121108811,"8638 Dallas Acorn St, Houston, TX 77078",168000,1206,5445,3,2
55484441,"14110 Blisswood Dr, Houston, TX 77044",374999,3176,9160,4,4
243978848,"4706 Thornton Grv, Houston, TX 77018",345000,1600,1724,3,3
241482935,"17107 Wilthorne Gardens Ct, Houston, TX 77084",265500,2003,3001,3,3
89650809,"14227 Wildwood Springs Ln, Houston, TX 77044",499000,4147,8581,4,3
68418513,"826 Forest Ivy Ln, Houston, TX 77067",225000,1584,2326,3,3
112081700,"1529 Malone St, Houston, TX 77007",389000,1872,1968,3,3
28418028,"8015 Ashley Circle Dr N, Houston, TX 77071",545000,4165,0,4,4
84047089,"11947 Greensbrook Forest Dr, Houston, TX 77044",159900,1188,4399,3,2
84024354,"12930 Redbud Shores Ln, Houston, TX 77044",255000,1744,3872,3,2
118393410,"1502 Stonehedge Bend Dr, Houston, TX 77073",225000,1590,5222,3,2
52418044,"10703 Desert Springs Cir, Houston, TX 77095",289000,1980,6316,3,2
161368758,"8043 Villa Lago Ln, Houston, TX 77070",274900,1623,2240,3,3
84008962,"13903 Tallheath Ct, Houston, TX 77044",449999,3646,9970,4,4
97649615,"6118 Micollet St, Houston, TX 77016",185000,1100,6599,2,2
80556483,"12602 Cannonwood Ln, Houston, TX 77070",288000,1841,6050,3,2
84015505,"4037 Lelia St, Houston, TX 77026",240000,1288,5000,3,2
27814063,"1702 Michigan St, Houston, TX 77006",685000,3086,2500,3,4
121104994,"4115 Cascade Oaks Ct, Houston, TX 77084",365000,2645,8058,4,3
84033265,"4614 Timber Pine Trl, Kingwood, TX 77345",290000,2094,7740,3,2
70312275,"826 Forest Bark Ln, Houston, TX 77067",239000,2112,3153,4,3
68424115,"6502 Cotorra Cove Ct, Houston, TX 77041",600000,3095,9199,4,3
80552470,"10303 Hinesburg Ct, Houston, TX 77075",310000,2933,0,4,3
